专区,专区ID,2016年12月,2017年01月,2017年02月,2017年03月,2017年04月,2017年05月,2017年06月,2017年07月,2017年08月,2017年09月,2017年10月,2017年11月
英雄联盟,lol,37860337,28459126,22081907,22471120,18243273,12552660,11809569,12891160,13795414,13146470,21591939,10025010
地下城与勇士,df,15727505,20240285,12978606,15485511,18103486,10378707,10132987,7430492,9295894,8760075,5917770,4464290
娱乐,kan,17213004,12619559,11147791,7162361,5314508,7830139,9068336,7579110,5828280,5665097,5788812,4645174
坦克世界,wot,8103541,7184976,6659663,6767962,6843662,6765265,5852355,6178324,7367037,6757114,7000149,5569651
炉石传说,ls,5001186,3256200,2948504,2736743,3494898,2260612,2098502,2695129,3125890,1771248,1446269,1474119
部落冲突,coc,1636365,1427383,1198366,1322535,1433603,1144368,1072653,918788,877898,775311,1011110,777492
首页,www,503626,904101,673865,835838,743295,439840,1040406,1169313,1270091,1148891,961260,1249288
皇室战争,cr,326996,401435,481929,676625,708394,420732,540859,937082,1348655,783262,809068,724842
战舰世界,wows,452194,535461,594643,549765,659958,497381,484238,474883,488993,484874,359444,300098
天涯明月刀,wuxia,1036081,1404585,1027008,1265641,974674,769482,1169441,1226360,1201587,775409,641830,736767
魔兽世界,wow,1474593,1645246,1597020,1475567,1102872,758256,867640,1830371,1164384,912553,698291,1061567
王者荣耀,5253wzry,1343899,3345544,2967858,1123076,766444,554253,956796,678137,631697,587021,490924,390369
电视游戏,tv,494761,688671,652228,498841,580461,525759,722659,383220,247119,102133,112279,141953
军事,mil,0,0,169,118846,267766,356013,363218,357982,339977,273670,197293,205513
绝地求生,pb,0,0,0,0,0,0,0,0,384,67097,144897,196718
单机游戏,pc,293846,366484,343405,495130,470414,420306,370014,374408,339126,225468,212758,241467
守望先锋,ow,1543540,1623906,1119679,881943,541908,522416,398456,332782,333881,170540,135988,140276
手机游戏,5253video,63147,74087,301382,455583,368309,95999,58272,70002,105792,68425,59981,76588